true_label,Adipocytes,Atrial_Cardiomyocyte,Endothelial,Fibroblast,Lymphoid,Mesothelial,Myeloid,Neuronal,Pericytes,Smooth_muscle_cells,Ventricular_Cardiomyocyte
Adipocytes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atrial_Cardiomyocyte,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Endothelial,0.0,0.0,0.9982068141063957,0.0,0.0,0.0,0.0,0.0,0.001195457262402869,0.0,0.0005977286312014345
Fibroblast,0.0,0.0,0.017241379310344827,0.9655172413793104,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0
Lymphoid,0.0,0.0,0.005494505494505495,0.0,0.978021978021978,0.0,0.016483516483516484,0.0,0.0,0.0,0.0
Mesothelial,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myeloid,0.0,0.0,0.0,0.0,0.016042780748663103,0.0,0.983957219251337,0.0,0.0,0.0,0.0
Neuronal,0.0,0.0,0.4166666666666667,0.041666666666666664,0.0,0.0,0.0,0.16666666666666666,0.375,0.0,0.0
Pericytes,0.0,0.0,0.10752688172043011,0.0,0.002688172043010753,0.0,0.0,0.0,0.8548387096774194,0.02956989247311828,0.005376344086021506
Smooth_muscle_cells,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.3700787401574803,0.6220472440944882,0.0
Ventricular_Cardiomyocyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
